"id_kota","kabupaten/kota","jumlahpenduduk"
"1","Buton","118410"
"2","Muna","221370"
"3","Konawe","264930"
"4","Kolaka
","243040"
"5","Konawe Selatan","318350"
"6","Bombana
","155510"
"7","Wakatobi","114620"
"8","Kolaka Utara
","142770"
"9","Buton Utara
","68090"
"10","Konawe Utara
","70680"
"11","Kolaka Timur
","123980"
"12","Konawe Kepulauan
","38310"
"13","Muna Barat","87590"
"14","Buton Tengah
","117630"
"15","Buton Selatan
","97950"
"16","Kendari","357650"
"17","BauBau","163720"
